,outtime,scores,one,two
173,2019-04-26 01:09:00,50,2019-04-26,01:09:00
174,2019-04-24 15:51:00,50,2019-04-24,15:51:00
175,2019-04-27 09:29:00,40,2019-04-27,09:29:00
176,2019-04-24 12:30:00,50,2019-04-24,12:30:00
177,2019-04-24 22:11:00,40,2019-04-24,22:11:00
178,2019-04-24 07:45:00,50,2019-04-24,07:45:00
179,2019-04-27 11:47:00,50,2019-04-27,11:47:00
180,2019-04-25 00:05:00,50,2019-04-25,00:05:00
181,2019-04-24 03:31:00,40,2019-04-24,03:31:00
182,2019-04-24 15:58:00,50,2019-04-24,15:58:00
183,2019-04-24 13:50:00,50,2019-04-24,13:50:00
184,2019-04-24 22:26:00,50,2019-04-24,22:26:00
185,2019-04-24 03:53:00,40,2019-04-24,03:53:00
186,2019-04-26 11:34:00,40,2019-04-26,11:34:00
187,2019-04-24 16:52:00,40,2019-04-24,16:52:00
188,2019-04-24 03:21:00,50,2019-04-24,03:21:00
189,2019-04-24 00:17:00,50,2019-04-24,00:17:00
190,2019-04-25 20:00:00,50,2019-04-25,20:00:00
191,2019-04-24 22:08:00,50,2019-04-24,22:08:00
192,2019-04-24 03:33:00,50,2019-04-24,03:33:00
193,2019-04-24 22:24:00,40,2019-04-24,22:24:00
194,2019-04-27 14:19:00,40,2019-04-27,14:19:00
195,2019-04-28 13:51:00,50,2019-04-28,13:51:00
196,2019-04-25 22:57:00,40,2019-04-25,22:57:00
197,2019-04-24 03:06:00,50,2019-04-24,03:06:00
198,2019-04-24 04:29:00,40,2019-04-24,04:29:00
199,2019-04-24 03:05:00,50,2019-04-24,03:05:00
200,2019-04-24 03:50:00,50,2019-04-24,03:50:00
201,2019-04-25 10:25:00,40,2019-04-25,10:25:00
202,2019-04-24 04:45:00,50,2019-04-24,04:45:00
203,2019-04-24 22:44:00,40,2019-04-24,22:44:00
204,2019-05-23 14:56:00,50,2019-05-23,14:56:00
205,2019-04-24 10:46:00,50,2019-04-24,10:46:00
206,2019-05-02 20:28:00,40,2019-05-02,20:28:00
207,2019-05-04 18:33:00,40,2019-05-04,18:33:00
208,2019-04-24 23:36:00,40,2019-04-24,23:36:00
209,2019-04-25 11:07:00,40,2019-04-25,11:07:00
210,2019-04-24 19:24:00,50,2019-04-24,19:24:00
211,2019-04-24 11:31:00,40,2019-04-24,11:31:00
212,2019-04-24 18:16:00,40,2019-04-24,18:16:00
213,2019-04-27 07:43:00,50,2019-04-27,07:43:00
214,2019-04-24 03:25:00,40,2019-04-24,03:25:00
215,2019-04-24 23:10:00,40,2019-04-24,23:10:00
216,2019-04-28 23:55:00,40,2019-04-28,23:55:00
217,2019-04-24 22:20:00,50,2019-04-24,22:20:00
218,2019-04-25 14:12:00,50,2019-04-25,14:12:00
219,2019-04-24 03:05:50,30,2019-04-24,03:05:50
220,2019-04-24 01:46:26,30,2019-04-24,01:46:26
221,2019-04-24 04:24:15,30,2019-04-24,04:24:15
222,2019-04-24 07:51:46,30,2019-04-24,07:51:46
223,2019-04-24 05:25:21,30,2019-04-24,05:25:21
224,2019-04-24 00:27:29,30,2019-04-24,00:27:29
225,2019-04-24 10:36:15,30,2019-04-24,10:36:15
226,2019-04-24 03:58:43,30,2019-04-24,03:58:43
227,2019-04-24 08:31:46,30,2019-04-24,08:31:46
228,2019-04-26 15:15:59,30,2019-04-26,15:15:59
229,2019-04-24 03:20:46,30,2019-04-24,03:20:46
230,2019-04-26 22:56:24,30,2019-04-26,22:56:24
231,2019-04-24 03:49:31,30,2019-04-24,03:49:31
232,2019-04-24 13:49:22,30,2019-04-24,13:49:22
233,2019-04-24 03:10:18,30,2019-04-24,03:10:18
234,2019-04-24 08:05:32,30,2019-04-24,08:05:32
235,2019-04-24 03:51:37,30,2019-04-24,03:51:37
236,2019-04-24 13:01:05,30,2019-04-24,13:01:05
237,2019-04-25 12:40:04,30,2019-04-25,12:40:04
238,2019-04-24 17:07:41,30,2019-04-24,17:07:41
239,2019-04-24 09:09:43,30,2019-04-24,09:09:43
240,2019-04-24 03:30:33,30,2019-04-24,03:30:33
241,2019-04-24 03:52:18,30,2019-04-24,03:52:18
242,2019-04-24 03:13:36,30,2019-04-24,03:13:36
243,2019-04-24 04:36:41,30,2019-04-24,04:36:41
244,2019-04-24 20:59:48,30,2019-04-24,20:59:48
245,2019-04-24 14:01:25,30,2019-04-24,14:01:25
246,2019-04-24 12:54:26,30,2019-04-24,12:54:26
247,2019-04-24 13:37:03,30,2019-04-24,13:37:03
248,2019-04-24 07:11:26,30,2019-04-24,07:11:26
249,2019-04-26 08:41:43,30,2019-04-26,08:41:43
250,2019-04-24 14:38:32,30,2019-04-24,14:38:32
251,2019-04-25 08:39:39,30,2019-04-25,08:39:39
252,2019-04-25 01:51:27,30,2019-04-25,01:51:27
253,2019-04-25 11:54:53,30,2019-04-25,11:54:53
254,2019-04-24 04:32:46,30,2019-04-24,04:32:46
255,2019-04-24 15:57:07,30,2019-04-24,15:57:07
256,2019-04-25 15:40:40,30,2019-04-25,15:40:40
257,2019-04-25 20:35:48,30,2019-04-25,20:35:48
258,2019-04-24 20:56:07,30,2019-04-24,20:56:07
259,2019-04-25 19:03:57,30,2019-04-25,19:03:57
260,2019-04-24 13:23:57,30,2019-04-24,13:23:57
261,2019-04-27 01:33:01,30,2019-04-27,01:33:01
262,2019-04-24 23:52:00,30,2019-04-24,23:52:00
263,2019-04-24 18:34:55,30,2019-04-24,18:34:55
264,2019-04-25 02:40:50,30,2019-04-25,02:40:50
265,2019-04-24 03:17:52,30,2019-04-24,03:17:52
266,2019-04-24 13:31:29,30,2019-04-24,13:31:29
267,2019-04-27 20:05:53,30,2019-04-27,20:05:53
268,2019-04-24 23:30:22,30,2019-04-24,23:30:22
269,2019-04-24 19:48:27,30,2019-04-24,19:48:27
270,2019-04-28 15:31:31,30,2019-04-28,15:31:31
271,2019-04-24 22:55:34,30,2019-04-24,22:55:34
272,2019-04-28 02:25:51,30,2019-04-28,02:25:51
273,2019-04-25 11:33:06,30,2019-04-25,11:33:06
274,2019-04-24 23:12:02,30,2019-04-24,23:12:02
275,2019-04-24 17:46:41,30,2019-04-24,17:46:41
276,2019-04-30 21:32:48,30,2019-04-30,21:32:48
277,2019-04-27 00:27:38,30,2019-04-27,00:27:38
278,2019-05-17 15:57:05,30,2019-05-17,15:57:05
279,2019-04-28 17:44:29,30,2019-04-28,17:44:29
280,2019-04-26 23:48:27,30,2019-04-26,23:48:27
281,2019-04-24 21:18:39,30,2019-04-24,21:18:39
282,2019-04-24 12:27:13,30,2019-04-24,12:27:13
283,2019-04-24 20:47:59,30,2019-04-24,20:47:59
284,2019-04-26 00:05:55,30,2019-04-26,00:05:55
285,2019-04-27 11:54:35,30,2019-04-27,11:54:35
286,2019-04-27 16:19:57,30,2019-04-27,16:19:57
287,2019-04-24 03:15:20,30,2019-04-24,03:15:20
288,2019-04-28 18:01:13,30,2019-04-28,18:01:13
289,2019-04-24 03:15:17,30,2019-04-24,03:15:17
290,2019-05-05 17:39:02,30,2019-05-05,17:39:02
291,2019-04-27 16:14:18,30,2019-04-27,16:14:18
292,2019-04-24 16:02:16,30,2019-04-24,16:02:16
293,2019-04-30 01:02:54,30,2019-04-30,01:02:54
294,2019-04-26 15:04:20,30,2019-04-26,15:04:20
295,2019-04-24 07:38:19,30,2019-04-24,07:38:19
296,2019-04-27 17:29:43,30,2019-04-27,17:29:43
297,2019-04-29 18:39:58,30,2019-04-29,18:39:58
298,2019-04-27 02:39:26,30,2019-04-27,02:39:26
299,2019-04-26 17:49:19,30,2019-04-26,17:49:19
300,2019-04-27 14:19:02,30,2019-04-27,14:19:02
301,2019-04-24 04:45:23,30,2019-04-24,04:45:23
302,2019-04-24 07:15:28,30,2019-04-24,07:15:28
303,2019-04-24 07:36:59,30,2019-04-24,07:36:59
304,2019-04-24 17:35:16,30,2019-04-24,17:35:16
305,2019-04-27 05:43:41,30,2019-04-27,05:43:41
306,2019-04-26 02:19:49,30,2019-04-26,02:19:49
307,2019-04-24 05:15:11,30,2019-04-24,05:15:11
308,2019-04-24 13:50:52,30,2019-04-24,13:50:52
309,2019-04-25 13:12:08,30,2019-04-25,13:12:08
310,2019-05-01 21:04:56,30,2019-05-01,21:04:56
311,2019-04-27 14:53:54,30,2019-04-27,14:53:54
312,2019-04-25 04:46:57,30,2019-04-25,04:46:57
313,2019-04-25 15:14:30,30,2019-04-25,15:14:30
314,2019-04-26 01:15:25,30,2019-04-26,01:15:25
315,2019-04-26 02:53:48,30,2019-04-26,02:53:48
316,2019-04-24 11:05:57,30,2019-04-24,11:05:57
317,2019-05-07 17:44:15,30,2019-05-07,17:44:15
318,2019-05-05 23:34:23,30,2019-05-05,23:34:23
319,2019-04-29 17:35:34,30,2019-04-29,17:35:34
320,2019-04-29 08:21:49,30,2019-04-29,08:21:49
321,2019-05-04 20:16:11,30,2019-05-04,20:16:11
322,2019-04-24 14:51:29,30,2019-04-24,14:51:29
323,2019-04-27 12:12:02,30,2019-04-27,12:12:02
324,2019-04-28 11:25:01,30,2019-04-28,11:25:01
325,2019-04-24 21:41:32,30,2019-04-24,21:41:32
326,2019-05-15 08:38:17,30,2019-05-15,08:38:17
327,2019-04-29 17:26:04,30,2019-04-29,17:26:04
328,2019-04-25 22:37:00,30,2019-04-25,22:37:00
329,2019-04-24 12:15:51,30,2019-04-24,12:15:51
330,2019-05-02 23:37:22,30,2019-05-02,23:37:22
331,2019-04-24 21:31:44,30,2019-04-24,21:31:44
332,2019-04-24 20:06:39,30,2019-04-24,20:06:39
333,2019-04-24 19:48:53,30,2019-04-24,19:48:53
334,2019-04-24 23:59:23,30,2019-04-24,23:59:23
335,2019-04-25 11:33:22,30,2019-04-25,11:33:22
336,2019-04-24 23:57:11,30,2019-04-24,23:57:11
337,2019-04-24 03:34:48,30,2019-04-24,03:34:48
338,2019-05-02 21:09:03,30,2019-05-02,21:09:03
339,2019-04-25 19:44:02,30,2019-04-25,19:44:02
340,2019-05-02 10:53:11,30,2019-05-02,10:53:11
341,2019-04-25 00:08:39,30,2019-04-25,00:08:39
342,2019-04-26 17:39:06,30,2019-04-26,17:39:06
343,2019-04-24 14:21:55,30,2019-04-24,14:21:55
344,2019-04-24 15:40:16,30,2019-04-24,15:40:16
345,2019-04-24 13:39:52,30,2019-04-24,13:39:52
346,2019-05-09 15:39:12,30,2019-05-09,15:39:12
