,jointime,outtime,scores,one,two
152,2007-11-09,2019-04-24 12:08:00,50,2019-04-24,12:08:00
153,2008-08-07,2019-04-24 23:20:00,50,2019-04-24,23:20:00
154,2012-01-22,2019-04-24 16:34:00,40,2019-04-24,16:34:00
155,2015-06-07,2019-04-24 13:08:00,50,2019-04-24,13:08:00
156,2009-02-07,2019-04-28 06:10:00,40,2019-04-28,06:10:00
157,2007-12-26,2019-04-24 17:51:00,40,2019-04-24,17:51:00
158,2009-05-19,2019-04-24 14:07:00,40,2019-04-24,14:07:00
159,2007-08-25,2019-04-24 14:23:00,40,2019-04-24,14:23:00
160,2006-09-23,2019-04-24 13:31:00,40,2019-04-24,13:31:00
161,2010-06-05,2019-04-24 09:18:00,50,2019-04-24,09:18:00
162,2011-02-08,2019-04-24 18:31:00,50,2019-04-24,18:31:00
163,2007-05-28,2019-04-24 03:14:00,50,2019-04-24,03:14:00
164,2006-11-24,2019-04-27 10:27:00,40,2019-04-27,10:27:00
165,2006-11-11,2019-04-24 20:11:00,40,2019-04-24,20:11:00
166,2007-05-20,2019-04-24 02:58:00,50,2019-04-24,02:58:00
167,2009-11-18,2019-04-24 03:45:00,50,2019-04-24,03:45:00
168,2006-07-17,2019-04-27 18:17:00,40,2019-04-27,18:17:00
169,2012-05-10,2019-04-27 18:45:00,40,2019-04-27,18:45:00
170,2007-05-14,2019-04-27 06:50:00,50,2019-04-27,06:50:00
171,2009-06-14,2019-05-09 13:52:00,40,2019-05-09,13:52:00
172,2009-08-22,2019-04-24 03:09:00,50,2019-04-24,03:09:00
173,2009-05-07,2019-04-26 01:09:00,50,2019-04-26,01:09:00
174,2010-07-28,2019-04-24 15:51:00,50,2019-04-24,15:51:00
175,2008-05-23,2019-04-27 09:29:00,40,2019-04-27,09:29:00
176,2016-01-25,2019-04-24 12:30:00,50,2019-04-24,12:30:00
177,2011-06-14,2019-04-24 22:11:00,40,2019-04-24,22:11:00
178,2015-03-22,2019-04-24 07:45:00,50,2019-04-24,07:45:00
179,2008-07-10,2019-04-27 11:47:00,50,2019-04-27,11:47:00
180,2009-07-20,2019-04-25 00:05:00,50,2019-04-25,00:05:00
181,2006-03-30,2019-04-24 03:31:00,40,2019-04-24,03:31:00
182,2012-08-30,2019-04-24 15:58:00,50,2019-04-24,15:58:00
183,2015-06-17,2019-04-24 13:50:00,50,2019-04-24,13:50:00
184,2009-05-04,2019-04-24 22:26:00,50,2019-04-24,22:26:00
185,2013-06-29,2019-04-24 03:53:00,40,2019-04-24,03:53:00
186,2010-02-23,2019-04-26 11:34:00,40,2019-04-26,11:34:00
187,2009-03-08,2019-04-24 16:52:00,40,2019-04-24,16:52:00
188,2010-07-15,2019-04-24 03:21:00,50,2019-04-24,03:21:00
189,2018-12-27,2019-04-24 00:17:00,50,2019-04-24,00:17:00
190,2009-08-19,2019-04-25 20:00:00,50,2019-04-25,20:00:00
191,2010-02-23,2019-04-24 22:08:00,50,2019-04-24,22:08:00
192,2008-12-26,2019-04-24 03:33:00,50,2019-04-24,03:33:00
193,2006-08-01,2019-04-24 22:24:00,40,2019-04-24,22:24:00
194,2007-05-10,2019-04-27 14:19:00,40,2019-04-27,14:19:00
195,2008-11-13,2019-04-28 13:51:00,50,2019-04-28,13:51:00
196,2009-11-28,2019-04-25 22:57:00,40,2019-04-25,22:57:00
